# BUSCO version is: 5.4.6 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2020-08-05, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1392at33682	Complete	contig_138	146112	149482	+	854.5	697	https://www.orthodb.org/v10?query=1392at33682	argonaute-like protein
1408at33682	Complete	contig_577	611241	614639	+	871.2	557	https://www.orthodb.org/v10?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	contig_33	1109847	1112976	+	1120.7	710	https://www.orthodb.org/v10?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	contig_33	87361	92023	-	1106.4	891	https://www.orthodb.org/v10?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	contig_577	1123299	1125890	-	1233.5	684	https://www.orthodb.org/v10?query=1572at33682	Exosome complex exonuclease DIS3/RRP44
1732at33682	Complete	contig_251	144956	147994	-	1021.7	670	https://www.orthodb.org/v10?query=1732at33682	WD40 repeat
1814at33682	Complete	contig_122	110549	112872	+	452.7	406	https://www.orthodb.org/v10?query=1814at33682	acyl-CoA binding protein
1820at33682	Missing
1881at33682	Complete	contig_699	146514	148946	+	1317.3	665	https://www.orthodb.org/v10?query=1881at33682	Mitochondrial RNA binding protein 1
1904at33682	Complete	contig_577	555297	557603	+	1220.1	677	https://www.orthodb.org/v10?query=1904at33682	proteasome regulatory non-ATPase subunit 2
1927at33682	Complete	contig_103	322330	325116	-	1014.9	671	https://www.orthodb.org/v10?query=1927at33682	peroxisome biogenesis factor 1
2035at33682	Fragmented	contig_707	96472	98101	-	755.3	445	https://www.orthodb.org/v10?query=2035at33682	periodic tryptophan protein 2
2058at33682	Fragmented	contig_3	84533	87240	+	495.6	470	https://www.orthodb.org/v10?query=2058at33682	RNA ligase, putative
2142at33682	Complete	contig_72	40233	43868	-	1466.4	1096	https://www.orthodb.org/v10?query=2142at33682	Structural maintenance of chromosomes protein
2207at33682	Fragmented	contig_3	130475	133230	+	855.0	715	https://www.orthodb.org/v10?query=2207at33682	EF-hand domain
2282at33682	Complete	contig_690	66840	69449	+	1111.7	710	https://www.orthodb.org/v10?query=2282at33682	importin beta-1 subunit
2363at33682	Fragmented	contig_547	133267	134779	-	290.7	236	https://www.orthodb.org/v10?query=2363at33682	ubiqitin hydrolase
2770at33682	Complete	contig_663	38722	41338	-	929.8	596	https://www.orthodb.org/v10?query=2770at33682	Spindle pole body component
2874at33682	Complete	contig_642	103356	107543	+	731.3	600	https://www.orthodb.org/v10?query=2874at33682	nucleoporin
2960at33682	Complete	contig_127	528586	531751	+	688.5	496	https://www.orthodb.org/v10?query=2960at33682	ATP-dependent DEAD/H DNA helicase recQ family
3056at33682	Complete	contig_533	476845	479118	+	968.8	611	https://www.orthodb.org/v10?query=3056at33682	Ubiquitin carboxyl-terminal hydrolase 12-like protein
3118at33682	Complete	contig_570	306294	310353	+	1193.5	806	https://www.orthodb.org/v10?query=3118at33682	Hypotheticalprotein-conserved
3306at33682	Complete	contig_577	818809	821362	-	645.6	426	https://www.orthodb.org/v10?query=3306at33682	Ubiquitinfamily-putative/Pfam
3331at33682	Complete	contig_315	224943	228843	-	1464.6	801	https://www.orthodb.org/v10?query=3331at33682	helicase
3344at33682	Complete	contig_688	109629	111752	+	981.0	519	https://www.orthodb.org/v10?query=3344at33682	tRNA wybutosine-synthesis
3381at33682	Complete	contig_699	167317	169716	+	1191.7	658	https://www.orthodb.org/v10?query=3381at33682	DNA helicase
3383at33682	Complete	contig_230	206084	208493	+	857.3	504	https://www.orthodb.org/v10?query=3383at33682	Tetratricopeptide repeat
3515at33682	Complete	contig_115	660126	662200	+	914.5	542	https://www.orthodb.org/v10?query=3515at33682	hypotheticalprotein-conserved
3545at33682	Fragmented	contig_228	590448	592154	+	617.0	395	https://www.orthodb.org/v10?query=3545at33682	translation initiation factor IF-2
3601at33682	Complete	contig_228	544610	546994	+	401.9	457	https://www.orthodb.org/v10?query=3601at33682	NEDD8-activating enzyme E1 regulatory subunit
3625at33682	Complete	contig_4	116586	118991	+	554.6	446	https://www.orthodb.org/v10?query=3625at33682	Ubiquitin-activating enzyme-like protein
3647at33682	Fragmented	contig_686	275045	276199	+	371.6	264	https://www.orthodb.org/v10?query=3647at33682	Hypotheticalprotein-conserved
3696at33682	Fragmented	contig_378	452089	453829	+	385.4	404	https://www.orthodb.org/v10?query=3696at33682	hypotheticalprotein-conserved
3706at33682	Complete	contig_642	531305	533378	+	998.9	543	https://www.orthodb.org/v10?query=3706at33682	arginyl-tRNA synthetase
3765at33682	Complete	contig_678	150708	152954	-	557.9	488	https://www.orthodb.org/v10?query=3765at33682	hypotheticalprotein-conserved
3852at33682	Fragmented	contig_102	677478	679037	+	611.3	380	https://www.orthodb.org/v10?query=3852at33682	Zinc-binding phosphatase, putative
3905at33682	Complete	contig_264	149290	151365	-	707.3	458	https://www.orthodb.org/v10?query=3905at33682	ATP-dependent DEAD/H RNA helicase
4007at33682	Complete	contig_138	91082	93209	+	705.5	458	https://www.orthodb.org/v10?query=4007at33682	pentatricopeptidecontaining protein
4136at33682	Complete	contig_642	581614	584130	+	977.6	589	https://www.orthodb.org/v10?query=4136at33682	CCAAT-binding factor
4199at33682	Complete	contig_251	148890	150984	-	671.7	429	https://www.orthodb.org/v10?query=4199at33682	transcription factor
4250at33682	Complete	contig_103	400593	401909	-	186.0	162	https://www.orthodb.org/v10?query=4250at33682	DNA cross-link repair 1A protein
4450at33682	Complete	contig_686	130717	132816	-	782.6	481	https://www.orthodb.org/v10?query=4450at33682	Ribosome biogenesis protein ENP2
4668at33682	Complete	contig_533	246109	248136	-	546.0	438	https://www.orthodb.org/v10?query=4668at33682	mitochondrial oligo_U binding protein TBRGG1-like, putative
4718at33682	Complete	contig_251	850144	851934	+	687.2	462	https://www.orthodb.org/v10?query=4718at33682	Vacuolar protein sorting-like protein
4733at33682	Complete	contig_711	38000	39804	+	390.3	257	https://www.orthodb.org/v10?query=4733at33682	tRNA pseudouridine synthase
4838at33682	Complete	contig_577	502794	504654	+	381.3	229	https://www.orthodb.org/v10?query=4838at33682	Kinesin-like protein
4898at33682	Fragmented	contig_121	8470	9633	-	406.9	300	https://www.orthodb.org/v10?query=4898at33682	Phospholipid
5001at33682	Complete	contig_643	243218	245728	-	886.1	485	https://www.orthodb.org/v10?query=5001at33682	putative ATP-dependent zinc metallopeptidase, putative,metallo-peptidase, clan MA(E), family M41
5261at33682	Complete	contig_138	142254	144426	+	438.5	307	https://www.orthodb.org/v10?query=5261at33682	ubiquitin carboxyl-terminal hydrolase 12/46
5413at33682	Complete	contig_264	1139074	1140687	-	983.3	482	https://www.orthodb.org/v10?query=5413at33682	GroEL-like apical domain superfamily
5598at33682	Complete	contig_103	208730	210544	-	416.4	398	https://www.orthodb.org/v10?query=5598at33682	DnaJ domain
5990at33682	Complete	contig_577	230180	232099	-	362.9	377	https://www.orthodb.org/v10?query=5990at33682	R3H domain
5994at33682	Complete	contig_436	730754	732976	+	643.9	474	https://www.orthodb.org/v10?query=5994at33682	Mismatch repair protein
6050at33682	Fragmented	contig_33	1082474	1083436	+	419.2	270	https://www.orthodb.org/v10?query=6050at33682	Protein kinase
6408at33682	Complete	contig_533	28205	29778	-	676.7	404	https://www.orthodb.org/v10?query=6408at33682	ABC transporter
6527at33682	Complete	contig_101	252975	254513	+	418.0	328	https://www.orthodb.org/v10?query=6527at33682	WD40-repeat-containing domain
6538at33682	Complete	contig_642	93589	94842	+	420.5	322	https://www.orthodb.org/v10?query=6538at33682	Putative RNA-binding protein
6660at33682	Complete	contig_251	371780	373119	+	535.9	292	https://www.orthodb.org/v10?query=6660at33682	Tubulin gamma chain
6795at33682	Fragmented	contig_84	15588	17213	-	288.6	253	https://www.orthodb.org/v10?query=6795at33682	hypotheticalprotein-conserved
6863at33682	Complete	contig_115	634046	635530	-	455.9	357	https://www.orthodb.org/v10?query=6863at33682	hypotheticalprotein-conserved
6875at33682	Complete	contig_102	114645	116690	+	618.1	526	https://www.orthodb.org/v10?query=6875at33682	Zinc finger, ZZ-type
7001at33682	Complete	contig_103	63325	64563	-	217.4	251	https://www.orthodb.org/v10?query=7001at33682	hypotheticalprotein-conserved
7043at33682	Fragmented	contig_251	848438	849770	+	378.1	277	https://www.orthodb.org/v10?query=7043at33682	polyribonucleotide 5'-hydroxyl-kinase
7187at33682	Complete	contig_689	113948	116040	+	684.5	411	https://www.orthodb.org/v10?query=7187at33682	tRNA pseudouridine synthase
7327at33682	Complete	contig_157	478712	480391	+	484.5	370	https://www.orthodb.org/v10?query=7327at33682	hypotheticalprotein-conserved
7368at33682	Complete	contig_103	336988	338374	-	569.1	387	https://www.orthodb.org/v10?query=7368at33682	Zinc finger, CCCH-type
7401at33682	Complete	contig_642	599508	600917	+	252.0	279	https://www.orthodb.org/v10?query=7401at33682	3-oxo-5-alpha-steroid 4-dehydrogenase, putative
7654at33682	Fragmented	contig_102	79121	79924	-	272.1	182	https://www.orthodb.org/v10?query=7654at33682	kelch domain-containing protein 3
7657at33682	Complete	contig_548	77024	78445	+	805.7	404	https://www.orthodb.org/v10?query=7657at33682	Putative nucleolar protein
7736at33682	Complete	contig_198	92416	93709	+	337.5	227	https://www.orthodb.org/v10?query=7736at33682	Peptidylprolyl isomerase
7778at33682	Complete	contig_677	127591	129546	-	560.3	476	https://www.orthodb.org/v10?query=7778at33682	Pseudouridine synthase, catalytic domain superfamily
7783at33682	Complete	contig_33	1008258	1009331	+	580.6	339	https://www.orthodb.org/v10?query=7783at33682	aspartyl aminopeptidase
7907at33682	Complete	contig_251	512369	513915	-	380.7	344	https://www.orthodb.org/v10?query=7907at33682	hypotheticalprotein-conserved
8009at33682	Complete	contig_264	356383	358536	-	626.4	458	https://www.orthodb.org/v10?query=8009at33682	GTP-binding protein
8369at33682	Complete	contig_577	368855	370343	-	461.5	319	https://www.orthodb.org/v10?query=8369at33682	A/G-specific adenine glycosylase
8553at33682	Complete	contig_378	503552	504547	+	299.0	251	https://www.orthodb.org/v10?query=8553at33682	sister chromatid cohesion protein DCC1
9163at33682	Complete	contig_127	521887	523278	+	519.5	370	https://www.orthodb.org/v10?query=9163at33682	23S rRNA (cytosine1962-C5)-methyltransferase
9208at33682	Complete	contig_674	181328	185317	-	637.4	567	https://www.orthodb.org/v10?query=9208at33682	AAA+ ATPase domain
9307at33682	Complete	contig_642	60613	61790	-	665.7	337	https://www.orthodb.org/v10?query=9307at33682	Flap endonuclease 1
9509at33682	Complete	contig_111	8331	9665	+	490.2	317	https://www.orthodb.org/v10?query=9509at33682	clathrin coat assembly protein
9959at33682	Complete	contig_663	12319	13861	-	514.3	306	https://www.orthodb.org/v10?query=9959at33682	methyltransferase
9973at33682	Complete	contig_251	152145	153293	-	578.7	330	https://www.orthodb.org/v10?query=9973at33682	small GTP-binding protein
10092at33682	Complete	contig_264	1134941	1136122	-	282.3	205	https://www.orthodb.org/v10?query=10092at33682	Tyrosinephosphatasefamily-putative/Pfam
10095at33682	Complete	contig_251	445084	446385	+	358.7	289	https://www.orthodb.org/v10?query=10095at33682	RNA-binding domain superfamily
10140at33682	Missing
10898at33682	Complete	contig_84	335005	336149	-	276.8	231	https://www.orthodb.org/v10?query=10898at33682	Methyltransferase, putative
10958at33682	Complete	contig_139	196285	197591	-	483.2	266	https://www.orthodb.org/v10?query=10958at33682	ribosomal RNA methyltransferase
10995at33682	Complete	contig_682	360561	361598	+	546.1	285	https://www.orthodb.org/v10?query=10995at33682	Hypotheticalprotein-conserved
11178at33682	Fragmented	contig_577	888156	888953	-	394.5	239	https://www.orthodb.org/v10?query=11178at33682	Armadillo-like helical
11334at33682	Complete	contig_642	585760	586761	+	512.4	276	https://www.orthodb.org/v10?query=11334at33682	proteasome regulatory non-ATPase subunit 3
11337at33682	Complete	contig_436	717147	717827	+	447.3	221	https://www.orthodb.org/v10?query=11337at33682	Casein kinase II, putative
11665at33682	Complete	contig_436	609150	610823	-	508.8	391	https://www.orthodb.org/v10?query=11665at33682	WGS project CAEQ00000000 data, annotated contig 1252
12323at33682	Complete	contig_63	73460	74627	-	440.2	325	https://www.orthodb.org/v10?query=12323at33682	hypotheticalprotein-conserved
12497at33682	Complete	contig_264	1091271	1093405	-	680.0	514	https://www.orthodb.org/v10?query=12497at33682	Kinetoplast polyadenylation/uridylation factor 2, putative
12533at33682	Complete	contig_716	154802	155757	+	362.9	249	https://www.orthodb.org/v10?query=12533at33682	hypotheticalprotein-conserved
12653at33682	Complete	contig_33	932825	934660	-	448.4	348	https://www.orthodb.org/v10?query=12653at33682	DTW
12778at33682	Complete	contig_122	142236	143225	-	419.1	256	https://www.orthodb.org/v10?query=12778at33682	tRNA wybutosine-synthesizing protein
12968at33682	Complete	contig_251	852279	853400	+	543.8	322	https://www.orthodb.org/v10?query=12968at33682	Zinc finger C2H2 superfamily
13007at33682	Complete	contig_683	18470	19936	+	464.0	352	https://www.orthodb.org/v10?query=13007at33682	TPR-repeat protein
13081at33682	Complete	contig_577	936029	937531	-	509.0	324	https://www.orthodb.org/v10?query=13081at33682	putative U4/U6 small nuclear ribonuclear protein
13169at33682	Complete	contig_711	84516	85520	+	423.9	246	https://www.orthodb.org/v10?query=13169at33682	mitochondrial carrier protein
13745at33682	Complete	contig_698	107915	109210	-	196.8	211	https://www.orthodb.org/v10?query=13745at33682	RNA-binding protein
13994at33682	Complete	contig_533	317433	318438	+	332.7	238	https://www.orthodb.org/v10?query=13994at33682	Beta-1,4-N-acetylglucosaminyltransferase
14291at33682	Complete	contig_344	405720	407783	+	372.1	361	https://www.orthodb.org/v10?query=14291at33682	Cytoplasmic tRNA 2-thiolation protein 2
14669at33682	Complete	contig_127	182529	183815	-	399.6	281	https://www.orthodb.org/v10?query=14669at33682	UV excision repair RAD23-like protein
14798at33682	Complete	contig_33	392974	394833	+	482.9	469	https://www.orthodb.org/v10?query=14798at33682	hypotheticalprotein-conserved
15735at33682	Complete	contig_33	93178	93972	-	323.6	195	https://www.orthodb.org/v10?query=15735at33682	hypotheticalprotein-conserved
15864at33682	Complete	contig_251	365747	366522	+	176.9	172	https://www.orthodb.org/v10?query=15864at33682	Ankyrin repeat-containing domain
16343at33682	Complete	contig_665	107945	108715	+	328.0	197	https://www.orthodb.org/v10?query=16343at33682	Replication factor A2
16629at33682	Complete	contig_264	761846	762727	+	363.5	194	https://www.orthodb.org/v10?query=16629at33682	Ribosome biogenesis protein
16817at33682	Complete	contig_547	127102	127905	-	239.8	176	https://www.orthodb.org/v10?query=16817at33682	bud site selection protein 31
17005at33682	Complete	contig_680	112075	112659	+	143.5	172	https://www.orthodb.org/v10?query=17005at33682	guanylate kinase
19201at33682	Complete	contig_157	137560	138207	-	212.9	126	https://www.orthodb.org/v10?query=19201at33682	Peptidyl-tRNA hydrolase, PTH2 family
